frame,pin_LED,type_LED,value_LED
1,6,digital_pwm,134
1,6,digital_pwm,134
2,6,digital_pwm,134
2,6,digital_pwm,141
3,6,digital_pwm,141
3,6,digital_pwm,147
4,6,digital_pwm,147
4,6,digital_pwm,154
5,6,digital_pwm,154
5,6,digital_pwm,160
6,6,digital_pwm,160
6,6,digital_pwm,167
7,6,digital_pwm,167
7,6,digital_pwm,173
8,6,digital_pwm,173
8,6,digital_pwm,179
9,6,digital_pwm,179
9,6,digital_pwm,185
10,6,digital_pwm,185
10,6,digital_pwm,191
11,6,digital_pwm,191
11,6,digital_pwm,197
12,6,digital_pwm,197
12,6,digital_pwm,202
13,6,digital_pwm,202
13,6,digital_pwm,208
14,6,digital_pwm,208
14,6,digital_pwm,213
15,6,digital_pwm,213
15,6,digital_pwm,218
16,6,digital_pwm,218
16,6,digital_pwm,222
17,6,digital_pwm,222
17,6,digital_pwm,227
18,6,digital_pwm,227
18,6,digital_pwm,231
19,6,digital_pwm,231
19,6,digital_pwm,234
20,6,digital_pwm,234
20,6,digital_pwm,238
21,6,digital_pwm,238
21,6,digital_pwm,241
22,6,digital_pwm,241
22,6,digital_pwm,244
23,6,digital_pwm,244
23,6,digital_pwm,247
24,6,digital_pwm,247
24,6,digital_pwm,249
25,6,digital_pwm,249
25,6,digital_pwm,251
26,6,digital_pwm,251
26,6,digital_pwm,252
27,6,digital_pwm,252
27,6,digital_pwm,253
28,6,digital_pwm,253
28,6,digital_pwm,254
29,6,digital_pwm,254
29,6,digital_pwm,255
30,6,digital_pwm,255
30,6,digital_pwm,255
31,6,digital_pwm,255
31,6,digital_pwm,255
32,6,digital_pwm,255
32,6,digital_pwm,254
33,6,digital_pwm,254
33,6,digital_pwm,253
34,6,digital_pwm,253
34,6,digital_pwm,252
35,6,digital_pwm,252
35,6,digital_pwm,251
36,6,digital_pwm,251
36,6,digital_pwm,249
37,6,digital_pwm,249
37,6,digital_pwm,247
38,6,digital_pwm,247
38,6,digital_pwm,244
